Discover Azerbaijan Packages,"All the price packages are made based on the previously mentioned assumptions with Lahore departure and standard visa delivery as base cost while others as add-ons.
All prices are in PKR","
",Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Package,3 star,4 star,5 star,Inclusions,Islamabad Departure Price Add-on,Express Visa Add-On
Family FIT,,,,,,
4 Days/3 Nights,278880,305760,420000,"Accommodation
Return airfare from Lahore
Standard Visa fee
Breakfast
Airport transfer
Transport as per program
English-speaking guide-driver or guide
2 excursions
Bottled water",9300,6000
5 Days/4 Nights,307440,346080,487200,"Accommodation
Return airfare from Lahore
Standard Visa fee
Breakfast
Airport transfer
Transport as per program
English-speaking guide-driver or guide
Baku, Gobustan, Mud Volcanoes, and Absheron Tours
Bottled water",,
6 Days/5 Nights,364560,420000,604800,"Accommodation
Return airfare from Lahore
Standard Visa fee
Breakfast
Airport transfer
Transport as per program
English-speaking guide-driver or guide
Baku, Gabala/Absheron, and Gabala Tours
Bottled water",,
7 Days/6 Nights,409920,480480,688800,"Accommodation
Return airfare from Lahore
Standard Visa fee
Breakfast
Airport transfer
Transport as per program
English-speaking guide-driver or guide
Baku, Gobustan, Absheron, Shamakhi, Sheki and Gabala Tours
Bottled water",,
Wellness FIT,,,,,,
Naftalan: 7 Days/6 Nights,359520,399840,433440,"Accommodation
Return airfare from Lahore
Standard Visa fee
Breakfast
Airport transfer
Transport as per program
Baku, Naftalan
Wellness treatment
Bottled water",,
Gabala: 7 Days/6 Nights,396480,443520,517440,"Accommodation
Return airfare from Lahore
Standard Visa fee
Breakfast
Airport transfer
Transport as per program
English-speaking guide-driver or guide
Baku and Gabala
Resort/Spa Access
Bottled water",,
Honeymoon FIT,,,,,,
7 Days/6 Nights,433440,493920,688800,"Accommodation
Return airfare from Lahore
Standard Visa fee
Breakfast
Honeymoon room setup
Romantic Dinner
Airport transfer
Transport as per program
English-speaking guide-driver or guide
2 excursions; Baku, Absheron, Gabala Resort
Bottled water",,
Event Group,,,,,,
Dream Fest: 5 Days/4 Nights,285600,315840,420000,"July 23 to July 26, 2026
Accommodation
Return airfare from Lahore
Standard Visa fee
Breakfast
Honeymoon room setup
Romantic Dinner
Airport transfer
Transport as per program
English-speaking guide-driver or guide
Baku, Absheron, Dream Fest at Sea Breeze Resort
Dreamfest Standard Ticket
Bottled water",,
Formula 1: 5 Days/4 Nights,598080,688800,907200,"September 24 to September 26, 2026
Accommodation
Return airfare from Lahore
Standard Visa fee
Breakfast
Honeymoon room setup
Romantic Dinner
Airport transfer
Transport as per program
English-speaking guide-driver or guide
Baku city tour
F1 Grandstand ticket
Bottled water",,
MICE/ Corporate Group,,,,,,
Corporate Baku Short MICE: 4 Days/3 Nights,295680,329280,436800,"Accommodation
Breakfast
Return Airfare
Standard Visa
Airport transfers
Meeting room half day
Basic AV
1 coffee break
Baku city tour
Gobustan/Absheron
1 gala dinner
 Guide/escort.",,
Baku Incentive + Sea Breeze Experience: 5 Days/4 Nights,332640,376320,504000,"Accommodation
Breakfast
Return Airfare
Standard Visa
Transfers
Guide/escort
Meeting setup
1 coffee break
2 excursions
One incentive dinner/venue coordination",,
Mountain Retreat MICE: 4 Days/3 Nights,312480,356160,456960,"Accommodation
Breakfast
Return Airfare
Standard Visa
Intercity transfers
Meeting room half day
Basic AV
Coffee break
Regional sightseeing
Guide/escort.",,
Conference + Culture Azerbaijan: 6 Days/5 Nights,369600,430080,604800,"Accommodation 
Breakfast
Return Airfare
Standard Visa
Airport transfers
Full-day meeting room
Basic AV
2 coffee breaks
1 lunch
Sightseeing
1 gala dinner
Guide/escort",,
